"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","13-Apr-2018","       1162.60","       1174.00","       1185.90","       1150.25","       1168.00","       1171.45","       1172.37","   10613519","         12442924999.05","     180965","    5370870","         50.60"
"INFY","EQ","16-Apr-2018","       1171.45","       1102.00","       1140.00","       1102.00","       1134.50","       1133.20","       1125.66","   12372542","         13927236192.55","     201992","    5012390","         40.51"
"INFY","EQ","17-Apr-2018","       1133.20","       1127.00","       1127.40","       1115.00","       1124.65","       1125.20","       1121.63","    5198970","          5831317995.90","     203792","    3086531","         59.37"
"INFY","EQ","18-Apr-2018","       1125.20","       1122.85","       1134.75","       1113.85","       1125.95","       1125.95","       1124.27","    5215190","          5863305787.10","     121114","    3220905","         61.76"
"INFY","EQ","19-Apr-2018","       1125.95","       1124.00","       1139.80","       1123.10","       1133.40","       1132.85","       1132.61","    4262771","          4828035903.70","     119470","    3277709","         76.89"
"INFY","EQ","20-Apr-2018","       1132.85","       1139.00","       1193.70","       1136.95","       1179.65","       1178.45","       1171.78","   12136346","         14221070741.95","     213680","    7374221","         60.76"
"INFY","EQ","23-Apr-2018","       1178.45","       1168.00","       1214.40","       1155.25","       1185.95","       1187.70","       1186.79","   10915319","         12954180381.05","     190031","    5762099","         52.79"
"INFY","EQ","24-Apr-2018","       1187.70","       1185.00","       1196.40","       1150.10","       1154.25","       1154.50","       1168.64","    4263108","          4982039811.20","      87918","    2175530","         51.03"
"INFY","EQ","25-Apr-2018","       1154.50","       1152.00","       1171.00","       1145.20","       1155.95","       1160.35","       1160.85","    5797089","          6729546264.95","     122892","    3549969","         61.24"
"INFY","EQ","26-Apr-2018","       1160.35","       1174.00","       1181.65","       1160.00","       1177.05","       1176.45","       1172.76","    5651042","          6627322945.00","     120489","    3710955","         65.67"
"INFY","EQ","27-Apr-2018","       1176.45","       1180.00","       1191.60","       1174.20","       1184.65","       1185.20","       1183.90","    3831685","          4536321753.30","     103259","    2521063","         65.80"
"INFY","EQ","30-Apr-2018","       1185.20","       1181.70","       1207.95","       1180.65","       1199.95","       1199.50","       1199.78","    2755839","          3306404000.25","      80599","    1748528","         63.45"
"INFY","EQ","02-May-2018","       1199.50","       1198.90","       1201.60","       1181.00","       1192.10","       1197.05","       1192.72","    5147521","          6139572652.50","      98610","    3916029","         76.08"
"INFY","EQ","03-May-2018","       1197.05","       1197.25","       1204.70","       1176.10","       1178.00","       1182.55","       1195.66","    2666115","          3187761546.30","     114003","    1634945","         61.32"
"INFY","EQ","04-May-2018","       1182.55","       1185.00","       1186.00","       1155.00","       1169.60","       1173.10","       1165.50","    3011684","          3510129248.85","      92619","    1501133","         49.84"
"INFY","EQ","07-May-2018","       1173.10","       1181.25","       1190.00","       1175.50","       1184.00","       1183.00","       1181.67","    2319480","          2740857604.55","      66189","    1381557","         59.56"
"INFY","EQ","08-May-2018","       1183.00","       1177.90","       1177.90","       1161.05","       1167.50","       1165.55","       1167.51","    2859278","          3338246179.35","     121067","    1833756","         64.13"
"INFY","EQ","09-May-2018","       1165.55","       1167.50","       1176.90","       1163.00","       1172.00","       1170.70","       1169.95","    1891752","          2213260046.80","      50914","    1226653","         64.84"
"INFY","EQ","10-May-2018","       1170.70","       1176.00","       1183.00","       1162.85","       1170.00","       1168.00","       1173.06","    1591431","          1866843839.75","      55801","     925580","         58.16"
"INFY","EQ","11-May-2018","       1168.00","       1172.30","       1183.20","       1166.05","       1180.60","       1180.75","       1174.30","    1655853","          1944465077.45","      51911","    1040917","         62.86"
"INFY","EQ","14-May-2018","       1180.75","       1184.35","       1191.50","       1170.00","       1190.50","       1189.30","       1184.18","    2216047","          2624191630.90","     118716","    1385502","         62.52"
"INFY","EQ","15-May-2018","       1189.30","       1188.10","       1208.00","       1188.10","       1195.20","       1194.55","       1196.60","    2805987","          3357654925.05","     169798","    1400617","         49.92"
"INFY","EQ","16-May-2018","       1194.55","       1187.25","       1198.00","       1184.50","       1190.70","       1189.95","       1191.85","    3102502","          3697718119.85","      80951","    2232738","         71.97"
"INFY","EQ","17-May-2018","       1189.95","       1196.00","       1197.45","       1173.55","       1180.00","       1182.90","       1186.19","    4759799","          5646033905.60","     108694","    3495536","         73.44"
"INFY","EQ","18-May-2018","       1182.90","       1183.00","       1186.55","       1173.00","       1180.00","       1183.20","       1181.08","    3569830","          4216242216.60","     118691","    2739080","         76.73"
